SIG=(3,3) | TYPE=mixed | S=R-(3,4)x1 | N=D1 | K=(3,1) | dimc=3 | dimcc=0 | abelian=1 | eig=[(-I,1),(0,4),(I,1)] | dimker=2 | A2zero=0 | minpolydeg=5
SIG=(3,3) | TYPE=NONE | S=R-(3,4)x1 | N=D0 | K=(3,1) | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(3,3) | TYPE=mixed | S=B(0,3)x1 | N=D1 | K=(2,2) | dimc=3 | dimcc=0 | abelian=1 | eig=[(-1,1),(0,4),(1,1)] | dimker=2 | A2zero=0 | minpolydeg=5
SIG=(3,3) | TYPE=mixed | S=B(0,3)x1 | N=D0 | K=(2,2) | dimc=5 | dimcc=3 | abelian=0 | eig=[(-1,1),(0,4),(1,1)] | dimker=2 | A2zero=0 | minpolydeg=4
--- mutants ---
MUTANT m1: CAUGHT
MUTANT m2: CAUGHT
MUTANT m3: CAUGHT
SUMMARY: rows=118 | pure-block=56 | pure-wedge=11 | mixed=11 | NONE=40
SUMMARY: asserts_passed=510 | FAIL=0
FORBIDDEN-SCAN: hits=0
EXIT=0
